127.0.0.1 - - [16/Oct/2020:09:27:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Oct/2020:09:27:47 +0900] "GET /WebProject/day1015/ex15_munjae.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2020:09:27:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Oct/2020:09:29:42 +0900] "GET /WebProject/day1015/ex15_munjae.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2020:09:29:43 +0900] "GET /WebProject/day1015/ex15_munjae.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2020:09:29:44 +0900] "GET /WebProject/day1015/ex15_munjae.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2020:09:29:45 +0900] "GET /WebProject/day1015/ex15_munjae.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2020:09:29:47 +0900] "GET /WebProject/day1015/ex15_munjae.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2020:09:29:48 +0900] "GET /WebProject/day1015/ex15_munjae.html HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [16/Oct/2020:09:29:49 +0900] "GET /WebProject/day1015/ex15_munjae.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2020:09:29:50 +0900] "GET /WebProject/day1015/ex15_munjae.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2020:09:29:51 +0900] "GET /WebProject/day1015/ex15_munjae.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2020:09:30:08 +0900] "GET /WebProject/day1015/ex15_munjae.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2020:09:30:09 +0900] "GET /WebProject/day1015/ex15_munjae.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2020:09:30:11 +0900] "GET /WebProject/day1015/ex15_munjae.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2020:09:30:12 +0900] "GET /WebProject/day1015/ex15_munjae.html HTTP/1.1" 304 -
