0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:02:17 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 200 1522
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:39 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:42 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:43 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:45 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:47 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:48 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:48 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:48 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:48 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:49 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:49 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:49 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:49 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:50 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:50 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:50 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:50 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:51 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:51 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:51 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:51 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Oct/2020:11:04:52 +0900] "GET /WebProject/day1022/ex2_ajaxread.html HTTP/1.1" 304 -
