127.0.0.1 - - [15/Oct/2020:09:41:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:41:28 +0900] "GET /WebProject/day1015/ex1_first.html HTTP/1.1" 200 411
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:41:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:44:48 +0900] "GET /WebProject/day1015/ex1_first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:44:53 +0900] "GET /WebProject/day1015/ex1_first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:44:53 +0900] "GET /WebProject/day1015/ex1_first.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:44:54 +0900] "GET /WebProject/day1015/ex1_first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:45:50 +0900] "GET /WebProject/day1015/ex1_first.html HTTP/1.1" 200 666
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:48:31 +0900] "GET /WebProject/day1015/ex1_first.html HTTP/1.1" 200 690
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:48:32 +0900] "GET /WebProject/day1015/ex1_first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:48:36 +0900] "GET /WebProject/day1015/ex1_first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:48:36 +0900] "GET /WebProject/day1015/ex1_first.html HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:48:37 +0900] "GET /WebProject/day1015/ex1_first.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:55:19 +0900] "GET /WebProject/day1015/ex2_firstchild.html HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [15/Oct/2020:09:59:03 +0900] "GET /WebProject/day1015/ex2_firstchild.html HTTP/1.1" 200 1004
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:06:03 +0900] "GET /WebProject/day1015/ex3_input.html HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:09:09 +0900] "GET /WebProject/day1015/ex3_input.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:10:22 +0900] "GET /WebProject/day1015/ex3_input.html HTTP/1.1" 200 584
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:10:23 +0900] "GET /WebProject/day1015/ex3_input.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:25:35 +0900] "GET /WebProject/day1015/ex3_input.html HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:31:24 +0900] "GET /WebProject/day1015/ex4_visible.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:34:37 +0900] "GET /WebProject/day1015/ex4_visible.html HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [15/Oct/2020:10:34:49 +0900] "GET /WebProject/day1015/ex4_visible.html HTTP/1.1" 200 683
