127.0.0.1 - - [19/Oct/2020:09:50:00 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:50:01 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:50:01 +0900] "GET /WebProject/image2/image_01.png HTTP/1.1" 200 35587
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:50:01 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:57:16 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 200 1311
0:0:0:0:0:0:0:1 - - [19/Oct/2020:09:59:19 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 200 1350
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:00:41 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:02:36 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:03:38 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 200 1576
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:05:55 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 200 1604
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:06:56 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 200 1637
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:06:58 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:08:10 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:08:29 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:08:31 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:08:32 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:08:34 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:08:35 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 200 1709
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:08:37 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:10:27 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 200 1829
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:16:27 +0900] "GET /WebProject/day1019/ex1_effect.html HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:34:40 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 200 369
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:38:05 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:38:35 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:38:55 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 200 766
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:38:58 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:39:00 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:39:00 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:39:01 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:39:03 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:39:03 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:39:04 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:39:04 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:39:05 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:39:08 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:39:10 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:39:11 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:39:54 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:41:15 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [19/Oct/2020:10:41:19 +0900] "GET /WebProject/day1019/ex2_textareaevent.html HTTP/1.1" 304 -
